50,2008-05-27 - 2008-06-03,51,2008-05-30 - 2008-06-06,1,982,474,77.1840148699,54.0252182347
51,2008-05-30 - 2008-06-06,52,2008-06-02 - 2008-06-09,1,1023,516,77.427184466,52.529898804
52,2008-06-02 - 2008-06-09,53,2008-06-05 - 2008-06-12,1,1037,494,77.8324070115,53.7453183521
53,2008-06-05 - 2008-06-12,54,2008-06-08 - 2008-06-15,1,1118,544,76.640200585,51.3416815742
54,2008-06-08 - 2008-06-15,55,2008-06-11 - 2008-06-18,1,1163,531,74.9623250807,51.0147601476
55,2008-06-11 - 2008-06-18,56,2008-06-14 - 2008-06-21,1,1135,515,75.406283857,51.5065913371
56,2008-06-14 - 2008-06-21,57,2008-06-17 - 2008-06-24,1,1038,510,78.2435548103,52.4697110904
57,2008-06-17 - 2008-06-24,58,2008-06-20 - 2008-06-27,1,1028,489,79.3946682702,54.2563143124
58,2008-06-20 - 2008-06-27,59,2008-06-23 - 2008-06-30,1,1075,534,79.7093242733,52.9929577465
59,2008-06-23 - 2008-06-30,60,2008-06-26 - 2008-07-03,1,1242,575,76.3338414634,49.7377622378
60,2008-06-26 - 2008-07-03,61,2008-06-29 - 2008-07-06,1,1157,537,75.789914208,50.9589041096
61,2008-06-29 - 2008-07-06,62,2008-07-02 - 2008-07-09,1,1116,511,76.1843790013,53.0330882353
62,2008-07-02 - 2008-07-09,63,2008-07-05 - 2008-07-12,1,1342,530,71.4346530438,51.1070110701
63,2008-07-05 - 2008-07-12,64,2008-07-08 - 2008-07-15,1,1031,500,77.664644714,54.0018399264
64,2008-07-08 - 2008-07-15,65,2008-07-11 - 2008-07-18,1,1303,569,72.3999152722,50.6504770165
65,2008-07-11 - 2008-07-18,66,2008-07-14 - 2008-07-21,1,1112,546,76.3605442177,51.2934879572
66,2008-07-14 - 2008-07-21,67,2008-07-17 - 2008-07-24,1,1129,524,77.8844270323,52.8352835284
67,2008-07-17 - 2008-07-24,68,2008-07-20 - 2008-07-27,1,1292,525,76.1974944731,53.0831099196
68,2008-07-20 - 2008-07-27,69,2008-07-23 - 2008-07-30,1,1113,521,78.1893004115,52.2893772894
69,2008-07-23 - 2008-07-30,70,2008-07-26 - 2008-08-02,1,1352,544,71.0430499036,49.6296296296
